DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
04/01/2019,29.00,HDB,28.30,29.00,28.00,1129350.00
03/01/2019,28.15,HDB,28.95,29.00,28.10,1222860.00
02/01/2019,28.20,HDB,30.30,30.30,28.20,723350.00
28/12/2018,30.30,HDB,29.50,30.30,29.30,1558390.00
27/12/2018,29.50,HDB,29.30,29.50,29.05,1242120.00
26/12/2018,28.80,HDB,29.00,29.05,28.55,1122440.00
25/12/2018,28.75,HDB,28.50,28.80,27.80,1557180.00
24/12/2018,29.00,HDB,29.40,29.50,28.35,1750920.00
21/12/2018,29.35,HDB,28.90,29.35,28.60,1768200.00
20/12/2018,29.05,HDB,28.70,29.15,28.50,1487030.00
19/12/2018,29.00,HDB,29.45,29.50,28.50,1481420.00
18/12/2018,29.40,HDB,29.00,29.45,28.80,2075950.00
17/12/2018,29.50,HDB,30.00,30.20,29.50,1586390.00
14/12/2018,30.20,HDB,30.50,30.60,30.05,1580250.00
13/12/2018,30.60,HDB,30.60,30.85,30.40,2248960.00
12/12/2018,30.55,HDB,30.25,30.80,30.25,2216500.00
11/12/2018,30.20,HDB,30.65,30.80,30.20,2216610.00
10/12/2018,30.65,HDB,30.60,30.70,30.30,2314250.00
07/12/2018,30.60,HDB,30.60,31.00,30.55,2250550.00
06/12/2018,30.50,HDB,31.20,31.20,30.10,1717980.00
05/12/2018,31.20,HDB,31.00,31.70,30.70,1881730.00
04/12/2018,31.70,HDB,32.20,32.25,31.15,2077930.00
03/12/2018,32.00,HDB,30.20,32.05,30.15,2937000.00
30/11/2018,30.00,HDB,30.25,30.30,29.65,1497920.00
29/11/2018,30.25,HDB,30.50,30.90,30.15,1592500.00
28/11/2018,30.35,HDB,30.20,30.35,30.00,1560030.00
27/11/2018,30.20,HDB,30.50,30.70,30.00,1472370.00
26/11/2018,30.50,HDB,30.30,30.60,29.70,1255750.00
23/11/2018,30.30,HDB,30.80,30.85,30.30,1370910.00
22/11/2018,30.80,HDB,30.30,31.05,30.05,1664180.00
21/11/2018,30.25,HDB,29.70,30.25,29.55,1449600.00
20/11/2018,30.45,HDB,30.40,30.50,30.00,1090170.00
19/11/2018,30.90,HDB,30.20,31.35,30.20,2280300.00
16/11/2018,29.95,HDB,28.25,29.95,28.05,3333630.00
15/11/2018,28.00,HDB,28.95,28.95,27.50,2278550.00
14/11/2018,28.80,HDB,30.05,30.90,28.50,1979430.00
13/11/2018,30.00,HDB,31.60,31.60,30.00,1993330.00
12/11/2018,32.00,HDB,32.80,32.80,31.90,1842290.00
09/11/2018,32.80,HDB,33.00,33.25,32.70,1871680.00
08/11/2018,33.20,HDB,33.25,33.60,33.10,2025730.00
07/11/2018,33.20,HDB,32.50,33.45,32.50,2098090.00
06/11/2018,32.85,HDB,33.40,33.45,32.80,1838820.00
05/11/2018,33.40,HDB,33.50,33.60,32.60,2500890.00
02/11/2018,33.50,HDB,32.95,33.60,32.95,3382980.00
01/11/2018,32.85,HDB,32.80,33.20,32.75,1827130.00
31/10/2018,32.80,HDB,33.25,33.45,32.10,2159860.00
30/10/2018,33.20,HDB,34.10,34.35,33.00,1712920.00
29/10/2018,34.10,HDB,34.40,34.65,33.50,1778800.00
26/10/2018,34.40,HDB,34.45,35.15,34.30,2942910.00
25/10/2018,34.30,HDB,34.00,34.50,34.00,2373490.00
24/10/2018,35.00,HDB,36.00,36.25,35.00,2303360.00
23/10/2018,36.00,HDB,36.00,36.50,35.60,1139000.00
22/10/2018,36.50,HDB,36.30,36.85,36.30,1527490.00
19/10/2018,36.30,HDB,36.50,36.50,35.80,1584310.00
18/10/2018,36.95,HDB,37.15,37.15,36.50,1439970.00
17/10/2018,37.15,HDB,37.00,37.40,37.00,1543500.00
16/10/2018,37.00,HDB,35.50,37.00,35.10,1748130.00
15/10/2018,35.50,HDB,36.50,36.55,34.85,1388600.00
12/10/2018,36.50,HDB,35.80,36.65,35.60,1451810.00
11/10/2018,36.10,HDB,37.00,37.00,35.30,1148170.00
10/10/2018,37.80,HDB,37.70,37.90,37.50,1622700.00
09/10/2018,37.70,HDB,37.80,38.00,37.50,1567140.00
08/10/2018,37.80,HDB,37.60,38.00,37.00,1623300.00
05/10/2018,38.00,HDB,38.75,38.85,38.00,1302170.00
04/10/2018,38.75,HDB,39.50,39.65,38.15,2438910.00
03/10/2018,39.45,HDB,39.20,39.50,39.10,1658100.00
02/10/2018,39.20,HDB,39.40,39.50,39.10,1651980.00
01/10/2018,39.40,HDB,38.85,39.75,38.85,2572230.00
28/09/2018,38.85,HDB,38.55,38.95,38.50,1933300.00
27/09/2018,38.55,HDB,38.60,38.85,38.45,1612480.00
26/09/2018,38.60,HDB,38.90,38.95,38.30,1776240.00
25/09/2018,38.90,HDB,39.00,39.05,38.75,1583720.00
24/09/2018,39.00,HDB,38.85,39.30,38.85,1568970.00
21/09/2018,38.85,HDB,38.90,38.95,38.20,1531720.00
20/09/2018,38.85,HDB,38.50,38.85,38.30,1453330.00
19/09/2018,38.50,HDB,38.25,38.60,38.25,1400510.00
18/09/2018,38.25,HDB,38.00,38.25,37.70,1235490.00
17/09/2018,38.40,HDB,38.60,38.70,38.30,1118330.00
14/09/2018,38.60,HDB,38.60,38.95,38.35,1760330.00
13/09/2018,38.60,HDB,37.15,38.65,37.15,3510820.00
12/09/2018,37.10,HDB,37.15,37.50,37.05,956470.00
11/09/2018,37.10,HDB,37.15,37.40,36.95,1228580.00
10/09/2018,37.00,HDB,36.65,37.20,36.65,935940.00
07/09/2018,36.65,HDB,36.50,36.85,36.30,1175460.00
06/09/2018,36.50,HDB,37.00,37.10,36.30,822860.00
05/09/2018,37.00,HDB,37.40,37.50,36.55,1248240.00
04/09/2018,37.40,HDB,38.00,38.00,37.30,1424210.00
31/08/2018,38.15,HDB,38.20,38.25,37.80,1595260.00
30/08/2018,38.20,HDB,37.20,38.25,37.10,2950700.00
29/08/2018,37.20,HDB,36.10,37.20,36.00,2510990.00
28/08/2018,36.05,HDB,36.00,36.15,35.95,1050000.00
27/08/2018,36.00,HDB,36.05,36.15,35.90,904340.00
24/08/2018,36.00,HDB,35.90,36.05,35.70,1640170.00
